"province","health_sector","vaccination_date","total_number_vaccines_administered"
"Limpopo","Public Health","2021-11-20",126
"Free State","Private Health","2021-11-14",95
"Eastern Cape","Public Health","2021-07-15",24107
"Mpumalanga","Public Health","2021-08-27",9318
"Eastern Cape","Private Health","2021-05-22",3
"Mpumalanga","Public Health","2021-10-23",1218
"KwaZulu-Natal","Public Health","2021-05-31",19031
"KwaZulu-Natal","Public Health","2021-11-06",2687
"Northern Cape","Public Health","2021-10-20",1968
"Limpopo","Public Health","2021-07-31",360
"KwaZulu-Natal","Private Health","2021-10-21",4968
"Limpopo","Public Health","2021-09-10",11598
"Western Cape","Private Health","2021-06-11",3088
"Northern Cape","Private Health","2021-11-02",856
"Free State","Private Health","2021-10-13",2495
"Mpumalanga","Public Health","2021-08-20",6438
"Eastern Cape","Public Health","2021-06-13",60
"Northern Cape","Public Health","2021-05-18",308
"Gauteng","Public Health","2021-09-22",21321
"North West","Private Health","2021-07-21",2319
"KwaZulu-Natal","Public Health","2021-09-10",22188
"Free State","Public Health","2021-08-04",6709
"Northern Cape","Public Health","2021-11-04",2007
"Free State","Public Health","2021-06-14",4873
"Eastern Cape","Public Health","2021-11-25",9072
"Mpumalanga","Private Health","2021-05-31",292
"mpumalanga","Private Health","2021-12-03",2
"Western Cape","Private Health","2021-07-12",7546
"Eastern Cape","Public Health","2021-06-30",13696
"North West","Private Health","2021-11-08",1756
"Eastern Cape","Public Health","2021-12-02",8466
"Mpumalanga","Private Health","2021-11-08",1164
"Limpopo","Private Health","2021-10-02",702
"Eastern Cape","Private Health","2021-07-20",4900
"Gauteng","Public Health","2021-10-11",27539
"Northern Cape","Private Health","2021-11-07",33
"Free State","Private Health","2021-10-03",170
"Northern Cape","Private Health","2021-10-04",969
"Gauteng","Public Health","2021-11-26",16109
"Eastern Cape","Public Health","2021-09-18",894
"North West","Public Health","2021-06-06",119
"North West","Public Health","2021-06-09",3568
"Gauteng","Private Health","2021-06-05",467
"North West","Public Health","2021-09-18",1313
"Free State","Public Health","2021-09-21",5768
"Northern Cape","Private Health","2021-09-22",927
"Northern Cape","Private Health","2021-07-20",590
"Northern Cape","Private Health","2021-08-25",1017
"Mpumalanga","Private Health","2021-08-30",2686
"Northern Cape","Public Health","2021-07-24",1
"Mpumalanga","Public Health","2021-08-02",5799
"Limpopo","Public Health","2021-11-06",173
"Limpopo","Public Health","2021-11-01",2775
"Free State","Public Health","2021-07-19",10268
"Free State","Private Health","2021-06-07",299
"Eastern Cape","Private Health","2021-06-17",1109
"Free State","Private Health","2021-06-24",264
"north west","Private Health","2021-12-03",3
"North West","Private Health","2021-09-07",3911
"North West","Private Health","2021-06-15",184
"Limpopo","Private Health","2021-08-14",119
"North West","Public Health","2021-06-17",4020
"Western Cape","Public Health","2021-10-13",18765
"Gauteng","Private Health","2021-09-19",3105
"North West","Private Health","2021-12-07",1918
"Mpumalanga","Private Health","2021-09-15",3031
"Eastern Cape","Public Health","2021-09-09",19353
"Gauteng","Public Health","2021-06-09",13369
"KwaZulu-Natal","Private Health","2021-11-12",5081
"Northern Cape","Private Health","2021-09-14",1092
"Mpumalanga","Private Health","2021-12-11",298
"Mpumalanga","Public Health","2021-09-12",134
"Mpumalanga","Public Health","2021-06-08",5164
"Limpopo","Private Health","2021-08-16",2152
"Free State","Private Health","2021-07-02",913
"Free State","Public Health","2021-10-11",5083
"Free State","Public Health","2021-11-06",885
"Mpumalanga","Private Health","2021-07-08",1288
"Northern Cape","Private Health","2021-07-12",400
"North West","Public Health","2021-08-07",1079
"Eastern Cape","Private Health","2021-08-31",4571
"KwaZulu-Natal","Public Health","2021-09-03",20450
"Western Cape","Private Health","2021-06-07",2802
"Northern Cape","Public Health","2021-11-09",1536
"Western Cape","Public Health","2021-10-14",19276
"Western Cape","Public Health","2021-10-26",18697
"Limpopo","Public Health","2021-12-13",5853
"Mpumalanga","Private Health","2021-09-11",177
"North West","Private Health","2021-09-13",4217
"North West","Private Health","2021-11-14",27
"Gauteng","Private Health","2021-12-12",1107
"Eastern Cape","Public Health","2021-11-09",8712
"free state","Public Health","2021-12-09",4
"KwaZulu-Natal","Private Health","2021-07-10",700
"Gauteng","Public Health","2021-06-22",12712
"north west","Private Health","2021-12-11",3
"Mpumalanga","Public Health","2021-09-14",6678
"Gauteng","Private Health","2021-08-04",20700
"Gauteng","Public Health","2021-06-06",35
"Mpumalanga","Public Health","2021-10-04",2386
"Free State","Private Health","2021-08-17",1881
"Limpopo","Private Health","2021-09-17",3824
"Limpopo","Public Health","2021-06-06",5
"KwaZulu-Natal","Private Health","2021-05-24",507
"Western Cape","Public Health","2021-12-06",8289
"Limpopo","Public Health","2021-09-06",13745
"KwaZulu-Natal","Public Health","2021-07-17",4304
"Northern Cape","Public Health","2021-08-18",2559
"Limpopo","Public Health","2021-10-12",10531
"Limpopo","Private Health","2021-06-15",411
"Eastern Cape","Private Health","2021-08-14",164
"Mpumalanga","Private Health","2021-07-31",153
"Limpopo","Private Health","2021-08-21",577
"Eastern Cape","Private Health","2021-08-12",2369
"Free State","Private Health","2021-06-27",24
"Northern Cape","Private Health","2021-08-24",898
"Limpopo","Private Health","2021-08-18",2721
"North West","Public Health","2021-11-20",2332
"North West","Public Health","2021-09-28",4113
"Limpopo","Private Health","2021-06-02",449
"Free State","Private Health","2021-06-11",145
"North West","Private Health","2021-06-01",384
"eastern cape","Public Health","2021-12-06",2
"Limpopo","Public Health","2021-08-08",2
"North West","Private Health","2021-07-18",210
"Northern Cape","Public Health","2021-10-24",37
"kwazulu-natal","Public Health","2021-12-14",31
"KwaZulu-Natal","Public Health","2021-07-15",5407
"Free State","Private Health","2021-11-03",1959
"Limpopo","Public Health","2021-12-10",5456
"Western Cape","Public Health","2021-09-21",17288
"KwaZulu-Natal","Public Health","2021-12-03",10384
"Gauteng","Private Health","2021-07-28",20493
"Gauteng","Public Health","2021-07-10",404
"North West","Public Health","2021-06-26",373
"Northern Cape","Private Health","2021-08-20",866
"Free State","Public Health","2021-12-13",2309
"KwaZulu-Natal","Private Health","2021-09-17",10209
"Gauteng","Private Health","2021-11-07",806
"Eastern Cape","Public Health","2021-08-15",158
"Eastern Cape","Public Health","2021-08-11",16181
"Gauteng","Public Health","2021-06-07",12499
"North West","Public Health","2021-08-27",6131
"Western Cape","Public Health","2021-08-17",20060
"KwaZulu-Natal","Private Health","2021-07-04",51
"Western Cape","Private Health","2021-09-04",3152
"Western Cape","Private Health","2021-10-01",12798
"Eastern Cape","Public Health","2021-11-06",1140
"Gauteng","Public Health","2021-08-09",495
"Eastern Cape","Public Health","2021-08-27",20501
"Free State","Public Health","2021-06-10",4205
"Free State","Public Health","2021-05-18",364
"north west","Private Health","2021-12-09",5
"Mpumalanga","Public Health","2021-07-26",9954
"Northern Cape","Public Health","2021-09-20",1457
"North West","Public Health","2021-11-18",3189
"Western Cape","Private Health","2021-10-13",10359
"Northern Cape","Public Health","2021-05-21",360
"Eastern Cape","Private Health","2021-10-09",914
"North West","Public Health","2021-06-10",3269
"Northern Cape","Private Health","2021-11-24",533
"Free State","Private Health","2021-06-18",190
"free state","Public Health","2021-12-11",1
"KwaZulu-Natal","Private Health","2021-06-04",680
"Gauteng","Private Health","2021-08-06",21510
"Free State","Private Health","2021-11-11",1203
"Northern Cape","Private Health","2021-11-27",155
"KwaZulu-Natal","Private Health","2021-08-29",1269
"KwaZulu-Natal","Private Health","2021-10-05",8640
"Free State","Public Health","2021-11-01",1102
"northern cape","Private Health","2021-12-13",1
"KwaZulu-Natal","Private Health","2021-12-09",3799
"Eastern Cape","Public Health","2021-10-10",763
"Free State","Private Health","2021-11-10",1362
"Gauteng","Public Health","2021-08-29",2209
"Eastern Cape","Private Health","2021-08-10",3285
"Eastern Cape","Private Health","2021-09-25",602
"Gauteng","Public Health","2021-09-26",722
"Northern Cape","Private Health","2021-05-27",30
"eastern cape","Public Health","2021-12-02",2
"eastern cape","Private Health","2021-12-08",18
"Limpopo","Private Health","2021-12-12",18
"Northern Cape","Public Health","2021-09-10",2354
"KwaZulu-Natal","Private Health","2021-11-07",460
"KwaZulu-Natal","Private Health","2021-06-14",1366
"Limpopo","Private Health","2021-10-04",3092
"KwaZulu-Natal","Public Health","2021-08-06",8330
"Eastern Cape","Public Health","2021-06-21",12444
"Eastern Cape","Private Health","2021-05-21",375
"Eastern Cape","Private Health","2021-10-18",2830
"KwaZulu-Natal","Private Health","2021-10-14",6488
"North West","Private Health","2021-07-19",2638
"Free State","Public Health","2021-10-17",434
"North West","Public Health","2021-07-06",5537
"Western Cape","Private Health","2021-09-05",684
"Eastern Cape","Public Health","2021-10-18",10724
"Northern Cape","Private Health","2021-07-13",332
"Northern Cape","Public Health","2021-07-02",1285
"Free State","Private Health","2021-06-21",174
"Northern Cape","Public Health","2021-08-15",20
"Western Cape","Public Health","2021-09-23",18273
"Eastern Cape","Public Health","2021-07-16",20106
"North West","Private Health","2021-06-05",14
"Limpopo","Private Health","2021-07-25",37
"North West","Public Health","2021-11-02",3806
"KwaZulu-Natal","Public Health","2021-10-11",13196
"Gauteng","Public Health","2021-11-13",6981
"Mpumalanga","Public Health","2021-10-13",4571
"North West","Private Health","2021-11-01",387
"Northern Cape","Public Health","2021-05-24",591
"Limpopo","Public Health","2021-07-22",17027
"North West","Private Health","2021-06-03",276
"Western Cape","Private Health","2021-10-03",2138
"Western Cape","Private Health","2021-07-06",7824
"Northern Cape","Private Health","2021-08-26",947
"Free State","Public Health","2021-10-04",4999
"Western Cape","Public Health","2021-05-22",163
"North West","Private Health","2021-07-14",839
"Free State","Public Health","2021-05-31",3539
"Mpumalanga","Public Health","2021-06-03",4129
"Eastern Cape","Private Health","2021-06-09",1295
"Eastern Cape","Public Health","2021-07-17",112
"Eastern Cape","Private Health","2021-10-31",53
"Western Cape","Public Health","2021-05-29",327
"Gauteng","Public Health","2021-05-19",7010
"Limpopo","Public Health","2021-10-15",7561
"North West","Public Health","2021-08-20",5077
"Gauteng","Private Health","2021-11-20",5751
"Eastern Cape","Public Health","2021-06-08",8116
"Gauteng","Public Health","2021-06-17",13446
"Limpopo","Public Health","2021-05-17",951
"Free State","Private Health","2021-06-02",91
"Northern Cape","Private Health","2021-10-23",155
"Limpopo","Public Health","2021-11-25",5286
"North West","Private Health","2021-11-11",1919
"KwaZulu-Natal","Private Health","2021-09-12",806
"Eastern Cape","Private Health","2021-09-01",4614
"western cape","Public Health","2021-12-10",61
"Northern Cape","Public Health","2021-09-04",304
"Northern Cape","Public Health","2021-10-22",1925
"Western Cape","Public Health","2021-11-06",1794
"Free State","Private Health","2021-09-27",2418
"Northern Cape","Private Health","2021-08-16",503
"Eastern Cape","Private Health","2021-10-19",2666
"Limpopo","Public Health","2021-07-16",4675
"KwaZulu-Natal","Public Health","2021-10-12",14726
"Free State","Private Health","2021-11-19",1310
"Gauteng","Public Health","2021-05-22",214
"Mpumalanga","Public Health","2021-06-26",73
"Western Cape","Public Health","2021-06-28",4533
"gauteng","Public Health","2021-12-03",47
"North West","Public Health","2021-09-06",3866
"Western Cape","Public Health","2021-09-11",3857
"KwaZulu-Natal","Private Health","2021-08-20",13359
"KwaZulu-Natal","Private Health","2021-12-12",542
"North West","Private Health","2021-09-28",4122
"KwaZulu-Natal","Public Health","2021-06-18",10522
"Mpumalanga","Public Health","2021-11-12",2783
"Free State","Public Health","2021-10-03",1064
"Gauteng","Public Health","2021-08-08",405
"Free State","Private Health","2021-05-28",64
"Free State","Public Health","2021-05-30",198
"KwaZulu-Natal","Private Health","2021-06-29",2329
"Free State","Public Health","2021-08-19",6030
"North West","Public Health","2021-11-30",5009
"Limpopo","Public Health","2021-06-05",4
"Western Cape","Public Health","2021-07-14",23133
"North West","Private Health","2021-10-14",2797
"Northern Cape","Private Health","2021-08-03",671
"Northern Cape","Private Health","2021-11-21",76
"Mpumalanga","Public Health","2021-09-22",3367
"North West","Public Health","2021-10-30",1606
"Free State","Public Health","2021-11-04",6111
"North West","Public Health","2021-08-26",5416
"mpumalanga","Public Health","2021-12-14",1
"eastern cape","Private Health","2021-12-10",20
"Limpopo","Private Health","2021-05-19",33
"North West","Private Health","2021-10-28",2837
"Limpopo","Public Health","2021-09-16",11399
"Eastern Cape","Private Health","2021-08-21",358
"Northern Cape","Private Health","2021-10-01",1158
"Limpopo","Public Health","2021-05-25",7361
"Free State","Private Health","2021-08-18",1958
"KwaZulu-Natal","Public Health","2021-08-28",3469
"North West","Private Health","2021-09-23",3868
"Eastern Cape","Private Health","2021-06-04",1216
"Northern Cape","Public Health","2021-09-03",2537
"Free State","Private Health","2021-05-26",83
"North West","Private Health","2021-11-27",386
"KwaZulu-Natal","Private Health","2021-11-02",4503
"North West","Private Health","2021-10-01",4239
"North West","Public Health","2021-07-11",353
"Free State","Private Health","2021-07-12",1289
"Western Cape","Public Health","2021-08-04",16479
"Free State","Public Health","2021-08-09",532
"Western Cape","Public Health","2021-07-23",22065
"Northern Cape","Private Health","2021-11-09",704
"KwaZulu-Natal","Private Health","2021-10-24",662
"North West","Public Health","2021-08-09",1197
"Free State","Public Health","2021-09-28",5192
"Free State","Private Health","2021-11-18",1306
"North West","Public Health","2021-06-22",3057
"Mpumalanga","Public Health","2021-11-21",71
"Western Cape","Private Health","2021-11-10",6313
"Gauteng","Public Health","2021-12-06",22325
"gauteng","Private Health","2021-12-08",310
"North West","Private Health","2021-10-17",70
"Gauteng","Public Health","2021-09-01",35437
"KwaZulu-Natal","Private Health","2021-09-03",10052
"mpumalanga","Private Health","2021-12-06",4
"Mpumalanga","Public Health","2021-09-07",8350
"Limpopo","Private Health","2021-09-13",4804
"North West","Private Health","2021-05-29",12
"Mpumalanga","Public Health","2021-09-15",5644
"North West","Public Health","2021-10-18",2480
"North West","Private Health","2021-10-07",4116
"Limpopo","Public Health","2021-11-26",4844
"Northern Cape","Public Health","2021-06-14",815
"Northern Cape","Public Health","2021-06-12",4
"KwaZulu-Natal","Private Health","2021-10-27",5225
"Western Cape","Public Health","2021-11-03",13934
"Eastern Cape","Public Health","2021-10-21",10744
"Gauteng","Private Health","2021-06-15",8479
"Mpumalanga","Private Health","2021-11-29",1931
"Eastern Cape","Private Health","2021-06-14",1189
"North West","Private Health","2021-11-16",1877
"Mpumalanga","Private Health","2021-07-25",36
"western cape","Public Health","2021-12-06",28
"Gauteng","Private Health","2021-10-30",8713
"Northern Cape","Public Health","2021-12-15",721
"Mpumalanga","Private Health","2021-08-21",294
"Free State","Private Health","2021-11-23",1203
"Eastern Cape","Private Health","2021-09-27",3376
"KwaZulu-Natal","Public Health","2021-07-11",2612
"Gauteng","Public Health","2021-10-05",27100
"Western Cape","Private Health","2021-06-28",3097
"Western Cape","Private Health","2021-10-10",1041
"Free State","Public Health","2021-08-08",365
"Gauteng","Private Health","2021-10-28",21700
"Western Cape","Private Health","2021-06-21",4184
"western cape","Public Health","2021-12-14",53
"Eastern Cape","Public Health","2021-07-06",19355
"Mpumalanga","Private Health","2021-10-30",295
"Gauteng","Private Health","2021-09-05",4593
"Western Cape","Public Health","2021-09-28",16523
"Mpumalanga","Public Health","2021-08-04",4450
"Mpumalanga","Private Health","2021-11-17",1095
"Free State","Private Health","2021-05-25",29
"Limpopo","Private Health","2021-10-01",2762
"Gauteng","Public Health","2021-09-06",29919
"Mpumalanga","Private Health","2021-07-26",2158
"Eastern Cape","Public Health","2021-07-26",18447
"Free State","Public Health","2021-09-27",5697
"Northern Cape","Public Health","2021-12-08",1269
"Gauteng","Public Health","2021-11-27",3015
"Northern Cape","Private Health","2021-11-12",927
"Gauteng","Public Health","2021-06-13",176
"Western Cape","Private Health","2021-06-23",3668
"Eastern Cape","Public Health","2021-11-27",841
"North West","Public Health","2021-07-19",6951
"western cape","Private Health","2021-12-13",160
"Gauteng","Private Health","2021-09-01",29659
"KwaZulu-Natal","Private Health","2021-08-10",6547
"North West","Public Health","2021-10-31",1516
"KwaZulu-Natal","Private Health","2021-10-25",5221
"North West","Private Health","2021-11-07",24
"Mpumalanga","Private Health","2021-06-11",227
"KwaZulu-Natal","Private Health","2021-08-11",6478
"Western Cape","Public Health","2021-07-07",19589
"Eastern Cape","Public Health","2021-06-16",180
"Limpopo","Private Health","2021-09-15",4357
"Free State","Private Health","2021-08-07",254
"Mpumalanga","Private Health","2021-08-31",2835
"Northern Cape","Private Health","2021-06-30",95
"Limpopo","Private Health","2021-12-04",361
"Free State","Private Health","2021-12-10",1351
"Mpumalanga","Public Health","2021-10-25",3346
"Free State","Public Health","2021-08-24",8553
"Western Cape","Public Health","2021-06-22",6462
"Gauteng","Private Health","2021-09-23",25319
"eastern cape","Private Health","2021-12-15",7
"Mpumalanga","Private Health","2021-11-26",1178
"gauteng","Private Health","2021-12-09",401
"Free State","Public Health","2021-08-27",7894
"North West","Public Health","2021-11-24",3212
"Eastern Cape","Public Health","2021-09-03",13175
"KwaZulu-Natal","Public Health","2021-09-19",2196
"KwaZulu-Natal","Public Health","2021-08-14",1893
"Western Cape","Private Health","2021-09-29",8497
"Eastern Cape","Private Health","2021-09-23",3306
"Northern Cape","Public Health","2021-06-03",398
"Free State","Private Health","2021-11-30",2165
"Western Cape","Public Health","2021-05-21",2470
"Western Cape","Public Health","2021-09-18",3838
"Northern Cape","Public Health","2021-11-20",276
"North West","Private Health","2021-08-18",4137
"North West","Private Health","2021-09-19",466
"Eastern Cape","Public Health","2021-05-17",2358
"Eastern Cape","Private Health","2021-05-31",869
"KwaZulu-Natal","Public Health","2021-08-02",24445
"KwaZulu-Natal","Private Health","2021-07-05",5449
"Eastern Cape","Public Health","2021-11-19",6855
"Limpopo","Public Health","2021-06-23",10725
"Northern Cape","Private Health","2021-11-23",509
"Free State","Private Health","2021-12-05",28
"Eastern Cape","Public Health","2021-06-26",74
"Mpumalanga","Private Health","2021-09-20",1838
"KwaZulu-Natal","Public Health","2021-05-22",1388
"Free State","Public Health","2021-07-12",8264
"Northern Cape","Private Health","2021-09-16",1215
"Eastern Cape","Private Health","2021-09-04",311
"Northern Cape","Private Health","2021-05-25",1
"Gauteng","Public Health","2021-10-03",3635
"Western Cape","Private Health","2021-08-21",3930
"Mpumalanga","Public Health","2021-06-29",4704
"free state","Private Health","2021-12-13",3
"Northern Cape","Public Health","2021-06-25",603
"Free State","Public Health","2021-11-15",3775
"kwazulu-natal","Public Health","2021-12-10",20
"Mpumalanga","Private Health","2021-08-24",2724
"gauteng","Private Health","2021-12-13",266
"Mpumalanga","Private Health","2021-09-16",3079
"North West","Private Health","2021-09-15",4801
"Mpumalanga","Public Health","2021-08-21",1691
"Northern Cape","Private Health","2021-07-30",664
"Limpopo","Private Health","2021-05-25",293
"Free State","Public Health","2021-05-17",262
"Limpopo","Public Health","2021-07-09",3873
"KwaZulu-Natal","Private Health","2021-07-16",689
"North West","Public Health","2021-12-11",1367
"KwaZulu-Natal","Public Health","2021-11-17",8231
"Limpopo","Public Health","2021-11-12",4996
"Eastern Cape","Public Health","2021-08-09",700
"North West","Public Health","2021-09-05",432
"Eastern Cape","Private Health","2021-06-22",1390
"Free State","Public Health","2021-08-06",4436
"Eastern Cape","Public Health","2021-06-14",11212
"Free State","Public Health","2021-11-03",6525
"KwaZulu-Natal","Private Health","2021-12-14",3075
"North West","Public Health","2021-06-05",475
"Western Cape","Public Health","2021-06-15",11852
"KwaZulu-Natal","Public Health","2021-11-02",11459
"KwaZulu-Natal","Public Health","2021-08-20",15853
"KwaZulu-Natal","Private Health","2021-11-29",5084
"North West","Public Health","2021-11-01",3635
"Western Cape","Public Health","2021-09-10",26166
"North West","Public Health","2021-11-04",3530
"KwaZulu-Natal","Private Health","2021-10-11",7837
"free state","Private Health","2021-12-06",1
"eastern cape","Private Health","2021-12-11",2
"Free State","Private Health","2021-08-22",23
"Limpopo","Private Health","2021-08-17",2072
"North West","Public Health","2021-08-30",5067
"Limpopo","Public Health","2021-11-14",1412
"Eastern Cape","Public Health","2021-08-23",25108
"KwaZulu-Natal","Public Health","2021-11-03",10817
"Gauteng","Public Health","2021-07-03",145
"Western Cape","Private Health","2021-09-17",14484
"Limpopo","Public Health","2021-10-14",14863
"Limpopo","Private Health","2021-07-03",78
"Mpumalanga","Private Health","2021-07-11",30
"Eastern Cape","Public Health","2021-05-18",4917
"KwaZulu-Natal","Private Health","2021-09-26",765
"Free State","Public Health","2021-05-29",224
"North West","Public Health","2021-08-16",3519
"Limpopo","Public Health","2021-10-29",6716
"Western Cape","Public Health","2021-06-24",7292
"Free State","Public Health","2021-09-14",8827
"KwaZulu-Natal","Private Health","2021-12-02",4357
"Gauteng","Public Health","2021-05-17",2284
"Eastern Cape","Private Health","2021-08-09",17
"Mpumalanga","Public Health","2021-10-03",294
"mpumalanga","Private Health","2021-12-10",9
"Northern Cape","Private Health","2021-10-07",811
"Gauteng","Public Health","2021-07-07",25229
"Eastern Cape","Public Health","2021-05-22",160
"Limpopo","Public Health","2021-08-24",14259
"Gauteng","Private Health","2021-10-27",22299
"Mpumalanga","Public Health","2021-10-02",863
"Mpumalanga","Public Health","2021-11-24",2279
"Mpumalanga","Public Health","2021-11-15",2315
"Limpopo","Private Health","2021-11-11",1890
"North West","Private Health","2021-11-20",403
"Eastern Cape","Public Health","2021-10-31",958
"Northern Cape","Public Health","2021-06-30",1345
"Mpumalanga","Private Health","2021-10-12",2449
"Eastern Cape","Private Health","2021-06-18",1137
"Northern Cape","Public Health","2021-06-15",781
"Limpopo","Private Health","2021-09-14",4869
"Mpumalanga","Private Health","2021-09-28",2092
"Free State","Public Health","2021-10-20",6948
"KwaZulu-Natal","Public Health","2021-09-04",5327
"gauteng","Public Health","2021-12-09",35
"North West","Private Health","2021-09-03",4040
"Gauteng","Public Health","2021-12-10",17132
"North West","Private Health","2021-11-12",2183
"Western Cape","Public Health","2021-06-03",12988
"Western Cape","Public Health","2021-08-06",15012
"Western Cape","Private Health","2021-10-30",3131
"eastern cape","Public Health","2021-12-15",10
"North West","Public Health","2021-09-13",5555
"Free State","Public Health","2021-07-09",7423
"KwaZulu-Natal","Private Health","2021-10-30",3029
"Western Cape","Private Health","2021-09-03",14325
"Eastern Cape","Public Health","2021-06-29",15350
"Limpopo","Public Health","2021-11-10",5785
"Mpumalanga","Private Health","2021-10-05",2819
"Free State","Private Health","2021-07-09",1221
"Eastern Cape","Public Health","2021-08-29",800
"Free State","Private Health","2021-10-23",615
"North West","Public Health","2021-07-31",1110
"Eastern Cape","Private Health","2021-07-16",5330
"KwaZulu-Natal","Public Health","2021-09-25",2392
"KwaZulu-Natal","Private Health","2021-07-07",6711
"Western Cape","Private Health","2021-05-19",280
"Western Cape","Private Health","2021-08-19",11163
"Mpumalanga","Public Health","2021-07-18",14
"Northern Cape","Private Health","2021-06-21",138
"Eastern Cape","Private Health","2021-11-04",2745
"Mpumalanga","Public Health","2021-09-20",2832
"Mpumalanga","Public Health","2021-06-21",4150
"Free State","Public Health","2021-07-27",8572
"Gauteng","Private Health","2021-07-29",21518
"Western Cape","Private Health","2021-08-20",17163
"North West","Private Health","2021-12-15",1355
"Mpumalanga","Public Health","2021-10-22",3571
"Eastern Cape","Public Health","2021-05-30",12
"Northern Cape","Private Health","2021-09-29",831
"Northern Cape","Public Health","2021-11-27",22
"Mpumalanga","Public Health","2021-09-25",518
"KwaZulu-Natal","Public Health","2021-09-16",13046
"Northern Cape","Private Health","2021-07-09",378
"Eastern Cape","Public Health","2021-09-08",17510
"Limpopo","Private Health","2021-11-08",1664
"KwaZulu-Natal","Public Health","2021-10-27",12951
"North West","Private Health","2021-06-08",245
"Gauteng","Private Health","2021-06-06",37
"Gauteng","Private Health","2021-06-26",982
"Eastern Cape","Private Health","2021-09-20",2831
"Northern Cape","Private Health","2021-11-10",700
"KwaZulu-Natal","Private Health","2021-12-06",4328
"Free State","Public Health","2021-09-18",955
"North West","Public Health","2021-09-07",4139
"KwaZulu-Natal","Private Health","2021-09-30",5420
"Eastern Cape","Private Health","2021-07-03",172
"North West","Public Health","2021-10-01",3191
"Western Cape","Private Health","2021-11-03",7657
"Gauteng","Private Health","2021-10-25",20709
"western cape","Public Health","2021-12-11",4
"North West","Public Health","2021-07-15",8307
"KwaZulu-Natal","Private Health","2021-11-25",3397
"Mpumalanga","Private Health","2021-10-23",248
"Gauteng","Private Health","2021-06-14",7557
"Western Cape","Private Health","2021-07-22",10293
"Gauteng","Private Health","2021-09-27",23167
"Free State","Public Health","2021-09-06",6657
"north west","Private Health","2021-12-04",6
"North West","Private Health","2021-10-03",172
"KwaZulu-Natal","Private Health","2021-10-19",4307
"Western Cape","Public Health","2021-11-05",10192
"Free State","Public Health","2021-08-14",159
"Western Cape","Public Health","2021-05-19",1769
"North West","Public Health","2021-07-13",6878
"Free State","Public Health","2021-05-26",4444
"Limpopo","Private Health","2021-11-01",248
"Western Cape","Private Health","2021-12-15",4673
"Gauteng","Public Health","2021-08-16",17694
"KwaZulu-Natal","Private Health","2021-11-03",4456
"Eastern Cape","Public Health","2021-09-02",19868
"Mpumalanga","Public Health","2021-05-28",3037
"North West","Public Health","2021-11-21",1637
"Free State","Public Health","2021-06-25",2466
"Gauteng","Private Health","2021-07-04",3120
"Mpumalanga","Public Health","2021-06-12",175
"KwaZulu-Natal","Public Health","2021-09-02",22616
"Limpopo","Private Health","2021-07-21",2432
"Western Cape","Private Health","2021-09-06",12657
"eastern cape","Public Health","2021-12-09",6
"Eastern Cape","Private Health","2021-08-26",4970
"Gauteng","Public Health","2021-05-20",8248
"North West","Private Health","2021-12-13",1195
"Gauteng","Private Health","2021-07-15",19921
"KwaZulu-Natal","Private Health","2021-09-06",7049
"Free State","Public Health","2021-07-29",7179
"Eastern Cape","Public Health","2021-11-08",5980
"Western Cape","Public Health","2021-07-06",18559
"Mpumalanga","Public Health","2021-09-13",5880
"Northern Cape","Public Health","2021-08-22",6
"Eastern Cape","Public Health","2021-06-19",21
"Eastern Cape","Public Health","2021-10-29",6891
"Eastern Cape","Private Health","2021-07-08",3583
"Mpumalanga","Private Health","2021-06-23",274
"KwaZulu-Natal","Private Health","2021-05-19",349
"Western Cape","Public Health","2021-06-29",8530
"North West","Public Health","2021-08-18",5130
"Eastern Cape","Public Health","2021-07-30",11635
"KwaZulu-Natal","Public Health","2021-07-04",2029
"North West","Public Health","2021-09-17",4032
"Northern Cape","Public Health","2021-10-26",2987
"Western Cape","Public Health","2021-06-14",10416
"Limpopo","Private Health","2021-09-22",3247
"Gauteng","Public Health","2021-09-29",19591
"Northern Cape","Public Health","2021-05-23",96
"North West","Private Health","2021-11-21",3
"Free State","Private Health","2021-09-08",2620
"Mpumalanga","Private Health","2021-07-20",1673
"Free State","Public Health","2021-11-20",396
"Western Cape","Public Health","2021-07-04",7
"Western Cape","Private Health","2021-12-11",1523
"Western Cape","Private Health","2021-05-29",23
"Northern Cape","Public Health","2021-08-19",2412
"Free State","Private Health","2021-07-30",1892
"Eastern Cape","Private Health","2021-11-07",27
"Limpopo","Public Health","2021-11-09",5478
"Mpumalanga","Public Health","2021-07-23",9408
"Western Cape","Private Health","2021-08-09",250
"Eastern Cape","Public Health","2021-11-14",2472
"Eastern Cape","Public Health","2021-12-15",3894
"Eastern Cape","Private Health","2021-09-06",3829
"Gauteng","Private Health","2021-06-30",5550
"KwaZulu-Natal","Private Health","2021-09-16",7785
"northern cape","Public Health","2021-12-10",1
"Mpumalanga","Private Health","2021-07-09",1067
"north west","Public Health","2021-12-08",1
"Eastern Cape","Public Health","2021-09-24",605
"North West","Public Health","2021-06-20",9
"KwaZulu-Natal","Public Health","2021-07-07",31592
"Eastern Cape","Private Health","2021-09-30",3094
"Limpopo","Private Health","2021-12-15",1743
"KwaZulu-Natal","Public Health","2021-06-26",1450
"Eastern Cape","Public Health","2021-08-24",25211
"KwaZulu-Natal","Private Health","2021-06-08",1154
